
15-02-2017 09:08:28:914 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:2, Y:4, Key:A)
15-02-2017 09:08:29:099 - I: 	Added Command GameEngine.Commands.PlayerCommands.TriggerBombCommand for Player PlayerEntity(X:16, Y:15, Key:B)
15-02-2017 09:08:29:299 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:4, Y:14, Key:C)
15-02-2017 09:08:29:484 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:18, Y:5, Key:D)
15-02-2017 09:08:29:484 - D: 	Beginning round processing
15-02-2017 09:08:29:484 - D: 	Removing Bomb Explosions from map
15-02-2017 09:08:29:484 - D: 	Decreasing Bomb Timers
15-02-2017 09:08:29:484 - D: 	Detonating Bombs
15-02-2017 09:08:29:484 - D: 	Processing Player Commands
15-02-2017 09:08:29:500 - I: 	Trying to move player C to destination Location(X:5,Y:14)
15-02-2017 09:08:29:500 - I: 	Trying to move player D to destination Location(X:18,Y:6)
15-02-2017 09:08:29:500 - D: 	Applying player power ups
15-02-2017 09:08:29:500 - D: 	Destroying marked entities
15-02-2017 09:08:29:500 - I: 	Player PlayerEntity(X:2, Y:4, Key:A) has a movement coverage of 5,34% for the map
15-02-2017 09:08:29:500 - I: 	Player PlayerEntity(X:16, Y:15, Key:B) has a movement coverage of 6,41% for the map
15-02-2017 09:08:29:500 - I: 	Player PlayerEntity(X:5, Y:14, Key:C) has a movement coverage of 5,69% for the map
15-02-2017 09:08:29:500 - I: 	Player PlayerEntity(X:18, Y:6, Key:D) has a movement coverage of 4,63% for the map
15-02-2017 09:08:29:500 - D: 	Round processing complete
