
15-02-2017 11:24:17:927 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:4, Y:8, Key:A)
15-02-2017 11:24:18:119 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:20, Y:18, Key:B)
15-02-2017 11:24:18:119 - D: 	Beginning round processing
15-02-2017 11:24:18:119 - D: 	Removing Bomb Explosions from map
15-02-2017 11:24:18:119 - D: 	Decreasing Bomb Timers
15-02-2017 11:24:18:119 - D: 	Detonating Bombs
15-02-2017 11:24:18:119 - D: 	Processing Player Commands
15-02-2017 11:24:18:119 - I: 	Trying to move player A to destination Location(X:4,Y:9)
15-02-2017 11:24:18:119 - D: 	Applying player power ups
15-02-2017 11:24:18:119 - D: 	Destroying marked entities
15-02-2017 11:24:18:119 - I: 	Player PlayerEntity(X:4, Y:9, Key:A) has a movement coverage of 3,56% for the map
15-02-2017 11:24:18:119 - I: 	Player PlayerEntity(X:20, Y:18, Key:B) has a movement coverage of 1,78% for the map
15-02-2017 11:24:18:119 - D: 	Round processing complete
