
15-02-2017 11:25:47:077 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:10, Y:9, Key:A)
15-02-2017 11:25:47:247 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:14, Y:13, Key:B)
15-02-2017 11:25:47:247 - D: 	Beginning round processing
15-02-2017 11:25:47:247 - D: 	Removing Bomb Explosions from map
15-02-2017 11:25:47:247 - D: 	Decreasing Bomb Timers
15-02-2017 11:25:47:247 - D: 	Detonating Bombs
15-02-2017 11:25:47:247 - I: 	Detonating Bomb BombEntity(X:12, Y:8, Radius:2, Timer:0, Owner:A)
15-02-2017 11:25:47:247 - I: 	Detonating Bomb BombEntity(X:12, Y:14, Radius:4, Timer:0, Owner:B)
15-02-2017 11:25:47:247 - D: 	Processing Player Commands
15-02-2017 11:25:47:247 - I: 	Trying to move player B to destination Location(X:14,Y:12)
15-02-2017 11:25:47:247 - D: 	Applying player power ups
15-02-2017 11:25:47:247 - D: 	Destroying marked entities
15-02-2017 11:25:47:247 - D: 	Destroyed Entity DestructibleWallEntity(X:12, Y:7)
15-02-2017 11:25:47:247 - D: 	Destroyed Entity DestructibleWallEntity(X:12, Y:9)
15-02-2017 11:25:47:247 - D: 	Destroyed Entity DestructibleWallEntity(X:12, Y:13)
15-02-2017 11:25:47:247 - D: 	Destroyed Entity DestructibleWallEntity(X:11, Y:14)
15-02-2017 11:25:47:247 - D: 	Destroyed Entity DestructibleWallEntity(X:12, Y:15)
15-02-2017 11:25:47:247 - I: 	Player PlayerEntity(X:10, Y:9, Key:A) has a movement coverage of 11,39% for the map
15-02-2017 11:25:47:247 - I: 	Player PlayerEntity(X:14, Y:12, Key:B) has a movement coverage of 11,74% for the map
15-02-2017 11:25:47:247 - D: 	Round processing complete
