
07-02-2017 11:48:01:652 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:2, Y:9, Key:A)
07-02-2017 11:48:01:972 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:18, Y:18, Key:B)
07-02-2017 11:48:01:972 - D: 	Beginning round processing
07-02-2017 11:48:01:972 - D: 	Removing Bomb Explosions from map
07-02-2017 11:48:01:972 - D: 	Decreasing Bomb Timers
07-02-2017 11:48:01:972 - D: 	Detonating Bombs
07-02-2017 11:48:01:973 - D: 	Processing Player Commands
07-02-2017 11:48:01:973 - I: 	Trying to move player A to destination Location(X:2,Y:10)
07-02-2017 11:48:01:973 - I: 	Trying to move player B to destination Location(X:17,Y:18)
07-02-2017 11:48:01:973 - D: 	Applying player power ups
07-02-2017 11:48:01:973 - D: 	Destroying marked entities
07-02-2017 11:48:01:973 - I: 	Player PlayerEntity(X:2, Y:10, Key:A) has a movement coverage of 4,27% for the map
07-02-2017 11:48:01:973 - I: 	Player PlayerEntity(X:17, Y:18, Key:B) has a movement coverage of 3,20% for the map
07-02-2017 11:48:01:973 - D: 	Round processing complete
