
15-02-2017 09:07:34:299 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:2, Y:3, Key:A)
15-02-2017 09:07:34:515 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:19, Y:20, Key:B)
15-02-2017 09:07:34:715 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:2, Y:19, Key:C)
15-02-2017 09:07:34:900 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:19, Y:2, Key:D)
15-02-2017 09:07:34:900 - D: 	Beginning round processing
15-02-2017 09:07:34:900 - D: 	Removing Bomb Explosions from map
15-02-2017 09:07:34:900 - D: 	Decreasing Bomb Timers
15-02-2017 09:07:34:900 - D: 	Detonating Bombs
15-02-2017 09:07:34:900 - D: 	Processing Player Commands
15-02-2017 09:07:34:900 - D: 	Applying player power ups
15-02-2017 09:07:34:900 - D: 	Destroying marked entities
15-02-2017 09:07:34:900 - I: 	Player PlayerEntity(X:2, Y:3, Key:A) has a movement coverage of 0,71% for the map
15-02-2017 09:07:34:900 - I: 	Player PlayerEntity(X:19, Y:20, Key:B) has a movement coverage of 0,71% for the map
15-02-2017 09:07:34:900 - I: 	Player PlayerEntity(X:2, Y:19, Key:C) has a movement coverage of 0,71% for the map
15-02-2017 09:07:34:900 - I: 	Player PlayerEntity(X:19, Y:2, Key:D) has a movement coverage of 0,71% for the map
15-02-2017 09:07:34:900 - D: 	Round processing complete
