
15-02-2017 09:07:39:965 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:3, Y:2, Key:A)
15-02-2017 09:07:40:327 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:20, Y:19, Key:B)
15-02-2017 09:07:40:676 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:3, Y:20, Key:C)
15-02-2017 09:07:40:982 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:20, Y:3, Key:D)
15-02-2017 09:07:40:982 - D: 	Beginning round processing
15-02-2017 09:07:40:982 - D: 	Removing Bomb Explosions from map
15-02-2017 09:07:40:982 - D: 	Decreasing Bomb Timers
15-02-2017 09:07:40:982 - D: 	Detonating Bombs
15-02-2017 09:07:40:982 - D: 	Processing Player Commands
15-02-2017 09:07:40:982 - D: 	Applying player power ups
15-02-2017 09:07:40:982 - D: 	Destroying marked entities
15-02-2017 09:07:40:983 - I: 	Player PlayerEntity(X:3, Y:2, Key:A) has a movement coverage of 1,07% for the map
15-02-2017 09:07:40:983 - I: 	Player PlayerEntity(X:20, Y:19, Key:B) has a movement coverage of 1,07% for the map
15-02-2017 09:07:40:983 - I: 	Player PlayerEntity(X:3, Y:20, Key:C) has a movement coverage of 1,07% for the map
15-02-2017 09:07:40:983 - I: 	Player PlayerEntity(X:20, Y:3, Key:D) has a movement coverage of 1,07% for the map
15-02-2017 09:07:40:983 - D: 	Round processing complete
