
15-02-2017 11:25:19:825 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:11, Y:8, Key:A)
15-02-2017 11:25:20:137 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:16, Y:12, Key:B)
15-02-2017 11:25:20:137 - D: 	Beginning round processing
15-02-2017 11:25:20:137 - D: 	Removing Bomb Explosions from map
15-02-2017 11:25:20:138 - D: 	Decreasing Bomb Timers
15-02-2017 11:25:20:138 - D: 	Detonating Bombs
15-02-2017 11:25:20:138 - I: 	Detonating Bomb BombEntity(X:10, Y:10, Radius:1, Timer:0, Owner:A)
15-02-2017 11:25:20:138 - D: 	Processing Player Commands
15-02-2017 11:25:20:138 - I: 	Trying to move player B to destination Location(X:15,Y:12)
15-02-2017 11:25:20:138 - D: 	Applying player power ups
15-02-2017 11:25:20:138 - D: 	Destroying marked entities
15-02-2017 11:25:20:138 - D: 	Destroyed Entity DestructibleWallEntity(X:9, Y:10)
15-02-2017 11:25:20:138 - D: 	Destroyed Entity DestructibleWallEntity(X:11, Y:10)
15-02-2017 11:25:20:138 - D: 	Destroyed Entity DestructibleWallEntity(X:10, Y:11)
15-02-2017 11:25:20:138 - I: 	Player PlayerEntity(X:11, Y:8, Key:A) has a movement coverage of 8,90% for the map
15-02-2017 11:25:20:138 - I: 	Player PlayerEntity(X:15, Y:12, Key:B) has a movement coverage of 9,25% for the map
15-02-2017 11:25:20:138 - D: 	Round processing complete
