
07-02-2017 11:47:42:880 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:2, Y:3, Key:A)
07-02-2017 11:47:43:076 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:20, Y:19, Key:B)
07-02-2017 11:47:43:076 - D: 	Beginning round processing
07-02-2017 11:47:43:076 - D: 	Removing Bomb Explosions from map
07-02-2017 11:47:43:076 - D: 	Decreasing Bomb Timers
07-02-2017 11:47:43:076 - D: 	Detonating Bombs
07-02-2017 11:47:43:076 - D: 	Processing Player Commands
07-02-2017 11:47:43:076 - I: 	Trying to move player A to destination Location(X:2,Y:2)
07-02-2017 11:47:43:076 - I: 	Trying to move player B to destination Location(X:20,Y:18)
07-02-2017 11:47:43:076 - D: 	Applying player power ups
07-02-2017 11:47:43:076 - D: 	Destroying marked entities
07-02-2017 11:47:43:077 - I: 	Player PlayerEntity(X:2, Y:2, Key:A) has a movement coverage of 1,07% for the map
07-02-2017 11:47:43:077 - I: 	Player PlayerEntity(X:20, Y:18, Key:B) has a movement coverage of 1,42% for the map
07-02-2017 11:47:43:077 - D: 	Round processing complete
