
15-02-2017 09:08:36:940 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:6, Y:6, Key:A)
15-02-2017 09:08:37:147 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:14, Y:10, Key:B)
15-02-2017 09:08:37:404 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:10, Y:14, Key:C)
15-02-2017 09:08:37:590 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:12, Y:8, Key:D)
15-02-2017 09:08:37:590 - D: 	Beginning round processing
15-02-2017 09:08:37:590 - D: 	Removing Bomb Explosions from map
15-02-2017 09:08:37:590 - D: 	Decreasing Bomb Timers
15-02-2017 09:08:37:590 - D: 	Detonating Bombs
15-02-2017 09:08:37:590 - D: 	Processing Player Commands
15-02-2017 09:08:37:590 - I: 	Trying to move player A to destination Location(X:6,Y:7)
15-02-2017 09:08:37:590 - I: 	Trying to move player B to destination Location(X:15,Y:10)
15-02-2017 09:08:37:590 - I: 	Trying to move player C to destination Location(X:10,Y:15)
15-02-2017 09:08:37:590 - D: 	Applying player power ups
15-02-2017 09:08:37:590 - D: 	Destroying marked entities
15-02-2017 09:08:37:590 - I: 	Player PlayerEntity(X:6, Y:7, Key:A) has a movement coverage of 5,69% for the map
15-02-2017 09:08:37:590 - I: 	Player PlayerEntity(X:15, Y:10, Key:B) has a movement coverage of 9,25% for the map
15-02-2017 09:08:37:590 - I: 	Player PlayerEntity(X:10, Y:15, Key:C) has a movement coverage of 8,19% for the map
15-02-2017 09:08:37:590 - I: 	Player PlayerEntity(X:12, Y:8, Key:D) has a movement coverage of 6,76% for the map
15-02-2017 09:08:37:590 - D: 	Round processing complete
