
15-02-2017 11:25:38:080 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:14, Y:9, Key:A)
15-02-2017 11:25:38:266 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:14, Y:14, Key:B)
15-02-2017 11:25:38:266 - D: 	Beginning round processing
15-02-2017 11:25:38:266 - D: 	Removing Bomb Explosions from map
15-02-2017 11:25:38:266 - D: 	Decreasing Bomb Timers
15-02-2017 11:25:38:266 - D: 	Detonating Bombs
15-02-2017 11:25:38:266 - D: 	Processing Player Commands
15-02-2017 11:25:38:266 - I: 	Trying to move player A to destination Location(X:14,Y:8)
15-02-2017 11:25:38:266 - I: 	Trying to move player B to destination Location(X:13,Y:14)
15-02-2017 11:25:38:266 - D: 	Applying player power ups
15-02-2017 11:25:38:266 - D: 	Destroying marked entities
15-02-2017 11:25:38:266 - I: 	Player PlayerEntity(X:14, Y:8, Key:A) has a movement coverage of 11,39% for the map
15-02-2017 11:25:38:266 - I: 	Player PlayerEntity(X:13, Y:14, Key:B) has a movement coverage of 11,39% for the map
15-02-2017 11:25:38:266 - D: 	Round processing complete
