
15-02-2017 11:24:54:991 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:8, Y:8, Key:A)
15-02-2017 11:24:55:161 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:16, Y:16, Key:B)
15-02-2017 11:24:55:161 - D: 	Beginning round processing
15-02-2017 11:24:55:161 - D: 	Removing Bomb Explosions from map
15-02-2017 11:24:55:161 - D: 	Decreasing Bomb Timers
15-02-2017 11:24:55:161 - D: 	Detonating Bombs
15-02-2017 11:24:55:161 - D: 	Processing Player Commands
15-02-2017 11:24:55:161 - I: 	Trying to move player A to destination Location(X:9,Y:8)
15-02-2017 11:24:55:161 - I: 	Trying to move player B to destination Location(X:17,Y:16)
15-02-2017 11:24:55:161 - D: 	Applying player power ups
15-02-2017 11:24:55:161 - D: 	Destroying marked entities
15-02-2017 11:24:55:161 - I: 	Player PlayerEntity(X:9, Y:8, Key:A) has a movement coverage of 7,12% for the map
15-02-2017 11:24:55:161 - I: 	Player PlayerEntity(X:17, Y:16, Key:B) has a movement coverage of 7,12% for the map
15-02-2017 11:24:55:161 - D: 	Round processing complete
