
15-02-2017 11:24:16:663 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:4, Y:6, Key:A)
15-02-2017 11:24:16:879 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:20, Y:19, Key:B)
15-02-2017 11:24:16:879 - D: 	Beginning round processing
15-02-2017 11:24:16:879 - D: 	Removing Bomb Explosions from map
15-02-2017 11:24:16:879 - D: 	Decreasing Bomb Timers
15-02-2017 11:24:16:879 - D: 	Detonating Bombs
15-02-2017 11:24:16:879 - I: 	Detonating Bomb BombEntity(X:18, Y:20, Radius:1, Timer:0, Owner:B)
15-02-2017 11:24:16:879 - D: 	Processing Player Commands
15-02-2017 11:24:16:879 - I: 	Trying to move player A to destination Location(X:4,Y:7)
15-02-2017 11:24:16:879 - I: 	Trying to move player B to destination Location(X:20,Y:18)
15-02-2017 11:24:16:879 - D: 	Applying player power ups
15-02-2017 11:24:16:879 - D: 	Destroying marked entities
15-02-2017 11:24:16:879 - D: 	Destroyed Entity DestructibleWallEntity(X:18, Y:19)
15-02-2017 11:24:16:879 - D: 	Destroyed Entity DestructibleWallEntity(X:17, Y:20)
15-02-2017 11:24:16:895 - I: 	Player PlayerEntity(X:4, Y:7, Key:A) has a movement coverage of 2,85% for the map
15-02-2017 11:24:16:895 - I: 	Player PlayerEntity(X:20, Y:18, Key:B) has a movement coverage of 1,78% for the map
15-02-2017 11:24:16:895 - D: 	Round processing complete
