
19-02-2017 11:48:17:414 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:2, Y:4, Key:A)
19-02-2017 11:48:17:434 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:20, Y:20, Key:B)
19-02-2017 11:48:17:434 - D: 	Beginning round processing
19-02-2017 11:48:17:434 - D: 	Removing Bomb Explosions from map
19-02-2017 11:48:17:434 - D: 	Decreasing Bomb Timers
19-02-2017 11:48:17:434 - D: 	Detonating Bombs
19-02-2017 11:48:17:434 - D: 	Processing Player Commands
19-02-2017 11:48:17:434 - I: 	Trying to move player A to destination Location(X:2,Y:3)
19-02-2017 11:48:17:434 - D: 	Applying player power ups
19-02-2017 11:48:17:434 - D: 	Destroying marked entities
19-02-2017 11:48:17:435 - I: 	Player PlayerEntity(X:2, Y:3, Key:A) has a movement coverage of 1,07% for the map
19-02-2017 11:48:17:435 - I: 	Player PlayerEntity(X:20, Y:20, Key:B) has a movement coverage of 0,36% for the map
19-02-2017 11:48:17:435 - D: 	Round processing complete
