
15-02-2017 11:25:48:478 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:10, Y:9, Key:A)
15-02-2017 11:25:48:647 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:14, Y:12, Key:B)
15-02-2017 11:25:48:647 - D: 	Beginning round processing
15-02-2017 11:25:48:647 - D: 	Removing Bomb Explosions from map
15-02-2017 11:25:48:647 - D: 	Decreasing Bomb Timers
15-02-2017 11:25:48:647 - D: 	Detonating Bombs
15-02-2017 11:25:48:647 - D: 	Processing Player Commands
15-02-2017 11:25:48:647 - I: 	Trying to move player A to destination Location(X:10,Y:8)
15-02-2017 11:25:48:647 - I: 	Trying to move player B to destination Location(X:14,Y:11)
15-02-2017 11:25:48:647 - D: 	Applying player power ups
15-02-2017 11:25:48:647 - D: 	Destroying marked entities
15-02-2017 11:25:48:647 - I: 	Player PlayerEntity(X:10, Y:8, Key:A) has a movement coverage of 11,39% for the map
15-02-2017 11:25:48:647 - I: 	Player PlayerEntity(X:14, Y:11, Key:B) has a movement coverage of 12,10% for the map
15-02-2017 11:25:48:647 - D: 	Round processing complete
