
15-02-2017 11:25:08:764 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:11, Y:8, Key:A)
15-02-2017 11:25:09:072 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:16, Y:14, Key:B)
15-02-2017 11:25:09:072 - D: 	Beginning round processing
15-02-2017 11:25:09:072 - D: 	Removing Bomb Explosions from map
15-02-2017 11:25:09:072 - D: 	Decreasing Bomb Timers
15-02-2017 11:25:09:072 - D: 	Detonating Bombs
15-02-2017 11:25:09:072 - D: 	Processing Player Commands
15-02-2017 11:25:09:073 - I: 	Trying to move player B to destination Location(X:17,Y:14)
15-02-2017 11:25:09:073 - D: 	Applying player power ups
15-02-2017 11:25:09:073 - D: 	Destroying marked entities
15-02-2017 11:25:09:073 - I: 	Player PlayerEntity(X:11, Y:8, Key:A) has a movement coverage of 8,54% for the map
15-02-2017 11:25:09:073 - I: 	Player PlayerEntity(X:17, Y:14, Key:B) has a movement coverage of 8,90% for the map
15-02-2017 11:25:09:073 - D: 	Round processing complete
