
07-02-2017 11:48:03:416 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:2, Y:11, Key:A)
07-02-2017 11:48:03:609 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:15, Y:16, Key:B)
07-02-2017 11:48:03:609 - D: 	Beginning round processing
07-02-2017 11:48:03:609 - D: 	Removing Bomb Explosions from map
07-02-2017 11:48:03:609 - D: 	Decreasing Bomb Timers
07-02-2017 11:48:03:609 - D: 	Detonating Bombs
07-02-2017 11:48:03:609 - D: 	Processing Player Commands
07-02-2017 11:48:03:609 - I: 	Trying to move player A to destination Location(X:2,Y:10)
07-02-2017 11:48:03:609 - D: 	Applying player power ups
07-02-2017 11:48:03:609 - D: 	Destroying marked entities
07-02-2017 11:48:03:609 - I: 	Player PlayerEntity(X:2, Y:10, Key:A) has a movement coverage of 4,63% for the map
07-02-2017 11:48:03:609 - I: 	Player PlayerEntity(X:15, Y:16, Key:B) has a movement coverage of 4,63% for the map
07-02-2017 11:48:03:609 - D: 	Round processing complete
