
19-02-2017 12:16:39:547 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:2, Y:2, Key:A)
19-02-2017 12:16:39:569 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:20, Y:18, Key:B)
19-02-2017 12:16:39:569 - D: 	Beginning round processing
19-02-2017 12:16:39:569 - D: 	Removing Bomb Explosions from map
19-02-2017 12:16:39:569 - D: 	Decreasing Bomb Timers
19-02-2017 12:16:39:569 - D: 	Detonating Bombs
19-02-2017 12:16:39:569 - D: 	Processing Player Commands
19-02-2017 12:16:39:569 - I: 	Trying to move player B to destination Location(X:20,Y:17)
19-02-2017 12:16:39:569 - D: 	Applying player power ups
19-02-2017 12:16:39:569 - D: 	Destroying marked entities
19-02-2017 12:16:39:569 - I: 	Player PlayerEntity(X:2, Y:2, Key:A) has a movement coverage of 0,36% for the map
19-02-2017 12:16:39:569 - I: 	Player PlayerEntity(X:20, Y:17, Key:B) has a movement coverage of 2,14% for the map
19-02-2017 12:16:39:569 - D: 	Round processing complete
