
15-02-2017 11:24:35:993 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:6, Y:12, Key:A)
15-02-2017 11:24:36:317 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:18, Y:14, Key:B)
15-02-2017 11:24:36:317 - D: 	Beginning round processing
15-02-2017 11:24:36:317 - D: 	Removing Bomb Explosions from map
15-02-2017 11:24:36:317 - D: 	Decreasing Bomb Timers
15-02-2017 11:24:36:317 - D: 	Detonating Bombs
15-02-2017 11:24:36:317 - D: 	Processing Player Commands
15-02-2017 11:24:36:317 - D: 	Applying player power ups
15-02-2017 11:24:36:317 - D: 	Destroying marked entities
15-02-2017 11:24:36:318 - I: 	Player PlayerEntity(X:6, Y:12, Key:A) has a movement coverage of 5,34% for the map
15-02-2017 11:24:36:318 - I: 	Player PlayerEntity(X:18, Y:14, Key:B) has a movement coverage of 4,98% for the map
15-02-2017 11:24:36:318 - D: 	Round processing complete
