
15-02-2017 11:25:22:215 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:10, Y:8, Key:A)
15-02-2017 11:25:22:400 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:15, Y:12, Key:B)
15-02-2017 11:25:22:400 - D: 	Beginning round processing
15-02-2017 11:25:22:400 - D: 	Removing Bomb Explosions from map
15-02-2017 11:25:22:400 - D: 	Decreasing Bomb Timers
15-02-2017 11:25:22:400 - D: 	Detonating Bombs
15-02-2017 11:25:22:400 - D: 	Processing Player Commands
15-02-2017 11:25:22:400 - I: 	Trying to move player A to destination Location(X:10,Y:9)
15-02-2017 11:25:22:400 - D: 	Applying player power ups
15-02-2017 11:25:22:400 - D: 	Destroying marked entities
15-02-2017 11:25:22:400 - I: 	Player PlayerEntity(X:10, Y:9, Key:A) has a movement coverage of 8,90% for the map
15-02-2017 11:25:22:400 - I: 	Player PlayerEntity(X:15, Y:12, Key:B) has a movement coverage of 9,25% for the map
15-02-2017 11:25:22:400 - D: 	Round processing complete
