
15-02-2017 09:08:34:095 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:4, Y:6, Key:A)
15-02-2017 09:08:34:273 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:14, Y:12, Key:B)
15-02-2017 09:08:34:558 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:8, Y:14, Key:C)
15-02-2017 09:08:34:743 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:15, Y:8, Key:D)
15-02-2017 09:08:34:743 - D: 	Beginning round processing
15-02-2017 09:08:34:743 - D: 	Removing Bomb Explosions from map
15-02-2017 09:08:34:743 - D: 	Decreasing Bomb Timers
15-02-2017 09:08:34:743 - D: 	Detonating Bombs
15-02-2017 09:08:34:743 - D: 	Processing Player Commands
15-02-2017 09:08:34:743 - I: 	Trying to move player D to destination Location(X:14,Y:8)
15-02-2017 09:08:34:743 - D: 	Applying player power ups
15-02-2017 09:08:34:743 - D: 	Destroying marked entities
15-02-2017 09:08:34:743 - I: 	Player PlayerEntity(X:4, Y:6, Key:A) has a movement coverage of 5,34% for the map
15-02-2017 09:08:34:743 - I: 	Player PlayerEntity(X:14, Y:12, Key:B) has a movement coverage of 8,19% for the map
15-02-2017 09:08:34:743 - I: 	Player PlayerEntity(X:8, Y:14, Key:C) has a movement coverage of 7,12% for the map
15-02-2017 09:08:34:743 - I: 	Player PlayerEntity(X:14, Y:8, Key:D) has a movement coverage of 6,05% for the map
15-02-2017 09:08:34:743 - D: 	Round processing complete
