
07-02-2017 11:47:52:005 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:2, Y:6, Key:A)
07-02-2017 11:47:52:201 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:18, Y:19, Key:B)
07-02-2017 11:47:52:201 - D: 	Beginning round processing
07-02-2017 11:47:52:201 - D: 	Removing Bomb Explosions from map
07-02-2017 11:47:52:201 - D: 	Decreasing Bomb Timers
07-02-2017 11:47:52:201 - D: 	Detonating Bombs
07-02-2017 11:47:52:201 - D: 	Processing Player Commands
07-02-2017 11:47:52:201 - I: 	Trying to move player A to destination Location(X:2,Y:7)
07-02-2017 11:47:52:201 - I: 	Trying to move player B to destination Location(X:18,Y:18)
07-02-2017 11:47:52:201 - D: 	Applying player power ups
07-02-2017 11:47:52:201 - D: 	Destroying marked entities
07-02-2017 11:47:52:201 - I: 	Player PlayerEntity(X:2, Y:7, Key:A) has a movement coverage of 2,49% for the map
07-02-2017 11:47:52:201 - I: 	Player PlayerEntity(X:18, Y:18, Key:B) has a movement coverage of 2,49% for the map
07-02-2017 11:47:52:201 - D: 	Round processing complete
