
15-02-2017 09:08:44:227 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:8, Y:10, Key:A)
15-02-2017 09:08:44:474 - I: 	Added Command GameEngine.Commands.PlayerCommands.TriggerBombCommand for Player PlayerEntity(X:16, Y:11, Key:B)
15-02-2017 09:08:44:651 - I: 	Added Command GameEngine.Commands.PlayerCommands.TriggerBombCommand for Player PlayerEntity(X:9, Y:14, Key:C)
15-02-2017 09:08:44:908 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:14, Y:7, Key:D)
15-02-2017 09:08:44:908 - D: 	Beginning round processing
15-02-2017 09:08:44:908 - D: 	Removing Bomb Explosions from map
15-02-2017 09:08:44:908 - D: 	Decreasing Bomb Timers
15-02-2017 09:08:44:908 - D: 	Detonating Bombs
15-02-2017 09:08:44:908 - D: 	Processing Player Commands
15-02-2017 09:08:44:908 - I: 	Trying to move player D to destination Location(X:14,Y:8)
15-02-2017 09:08:44:908 - D: 	Applying player power ups
15-02-2017 09:08:44:908 - D: 	Destroying marked entities
15-02-2017 09:08:44:909 - I: 	Player PlayerEntity(X:8, Y:10, Key:A) has a movement coverage of 7,47% for the map
15-02-2017 09:08:44:909 - I: 	Player PlayerEntity(X:16, Y:11, Key:B) has a movement coverage of 10,32% for the map
15-02-2017 09:08:44:909 - I: 	Player PlayerEntity(X:9, Y:14, Key:C) has a movement coverage of 8,54% for the map
15-02-2017 09:08:44:909 - I: 	Player PlayerEntity(X:14, Y:8, Key:D) has a movement coverage of 7,12% for the map
15-02-2017 09:08:44:909 - D: 	Round processing complete
