
07-02-2017 11:47:50:977 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:2, Y:4, Key:A)
07-02-2017 11:47:51:219 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:19, Y:20, Key:B)
07-02-2017 11:47:51:219 - D: 	Beginning round processing
07-02-2017 11:47:51:219 - D: 	Removing Bomb Explosions from map
07-02-2017 11:47:51:219 - D: 	Decreasing Bomb Timers
07-02-2017 11:47:51:219 - D: 	Detonating Bombs
07-02-2017 11:47:51:219 - I: 	Detonating Bomb BombEntity(X:20, Y:18, Radius:1, Timer:0, Owner:B)
07-02-2017 11:47:51:219 - D: 	Processing Player Commands
07-02-2017 11:47:51:219 - I: 	Trying to move player A to destination Location(X:2,Y:5)
07-02-2017 11:47:51:219 - I: 	Trying to move player B to destination Location(X:18,Y:20)
07-02-2017 11:47:51:219 - D: 	Applying player power ups
07-02-2017 11:47:51:219 - D: 	Destroying marked entities
07-02-2017 11:47:51:219 - D: 	Destroyed Entity DestructibleWallEntity(X:20, Y:17)
07-02-2017 11:47:51:219 - D: 	Destroyed Entity DestructibleWallEntity(X:19, Y:18)
07-02-2017 11:47:51:219 - I: 	Player PlayerEntity(X:2, Y:5, Key:A) has a movement coverage of 1,78% for the map
07-02-2017 11:47:51:219 - I: 	Player PlayerEntity(X:18, Y:20, Key:B) has a movement coverage of 1,78% for the map
07-02-2017 11:47:51:219 - D: 	Round processing complete
