
15-02-2017 11:24:15:994 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:4, Y:5, Key:A)
15-02-2017 11:24:16:194 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:20, Y:20, Key:B)
15-02-2017 11:24:16:194 - D: 	Beginning round processing
15-02-2017 11:24:16:194 - D: 	Removing Bomb Explosions from map
15-02-2017 11:24:16:194 - D: 	Decreasing Bomb Timers
15-02-2017 11:24:16:194 - D: 	Detonating Bombs
15-02-2017 11:24:16:194 - D: 	Processing Player Commands
15-02-2017 11:24:16:194 - I: 	Trying to move player A to destination Location(X:4,Y:6)
15-02-2017 11:24:16:194 - I: 	Trying to move player B to destination Location(X:20,Y:19)
15-02-2017 11:24:16:194 - D: 	Applying player power ups
15-02-2017 11:24:16:194 - D: 	Destroying marked entities
15-02-2017 11:24:16:194 - I: 	Player PlayerEntity(X:4, Y:6, Key:A) has a movement coverage of 2,49% for the map
15-02-2017 11:24:16:194 - I: 	Player PlayerEntity(X:20, Y:19, Key:B) has a movement coverage of 1,42% for the map
15-02-2017 11:24:16:194 - D: 	Round processing complete
