
15-02-2017 11:25:31:139 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:10, Y:10, Key:A)
15-02-2017 11:25:31:324 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:16, Y:10, Key:B)
15-02-2017 11:25:31:324 - D: 	Beginning round processing
15-02-2017 11:25:31:324 - D: 	Removing Bomb Explosions from map
15-02-2017 11:25:31:324 - D: 	Decreasing Bomb Timers
15-02-2017 11:25:31:324 - D: 	Detonating Bombs
15-02-2017 11:25:31:324 - D: 	Processing Player Commands
15-02-2017 11:25:31:324 - I: 	Trying to move player A to destination Location(X:10,Y:9)
15-02-2017 11:25:31:324 - I: 	Trying to move player B to destination Location(X:16,Y:11)
15-02-2017 11:25:31:324 - D: 	Applying player power ups
15-02-2017 11:25:31:324 - D: 	Destroying marked entities
15-02-2017 11:25:31:324 - I: 	Player PlayerEntity(X:10, Y:9, Key:A) has a movement coverage of 9,96% for the map
15-02-2017 11:25:31:324 - I: 	Player PlayerEntity(X:16, Y:11, Key:B) has a movement coverage of 9,96% for the map
15-02-2017 11:25:31:324 - D: 	Round processing complete
