
19-02-2017 11:48:16:670 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:2, Y:3, Key:A)
19-02-2017 11:48:16:693 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:20, Y:20, Key:B)
19-02-2017 11:48:16:693 - D: 	Beginning round processing
19-02-2017 11:48:16:693 - D: 	Removing Bomb Explosions from map
19-02-2017 11:48:16:693 - D: 	Decreasing Bomb Timers
19-02-2017 11:48:16:693 - D: 	Detonating Bombs
19-02-2017 11:48:16:693 - D: 	Processing Player Commands
19-02-2017 11:48:16:693 - I: 	Trying to move player A to destination Location(X:2,Y:4)
19-02-2017 11:48:16:693 - D: 	Applying player power ups
19-02-2017 11:48:16:693 - D: 	Destroying marked entities
19-02-2017 11:48:16:693 - I: 	Player PlayerEntity(X:2, Y:4, Key:A) has a movement coverage of 1,07% for the map
19-02-2017 11:48:16:693 - I: 	Player PlayerEntity(X:20, Y:20, Key:B) has a movement coverage of 0,36% for the map
19-02-2017 11:48:16:693 - D: 	Round processing complete
