
15-02-2017 11:24:20:164 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:4, Y:11, Key:A)
15-02-2017 11:24:20:364 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:18, Y:18, Key:B)
15-02-2017 11:24:20:364 - D: 	Beginning round processing
15-02-2017 11:24:20:364 - D: 	Removing Bomb Explosions from map
15-02-2017 11:24:20:364 - D: 	Decreasing Bomb Timers
15-02-2017 11:24:20:364 - D: 	Detonating Bombs
15-02-2017 11:24:20:364 - D: 	Processing Player Commands
15-02-2017 11:24:20:364 - I: 	Trying to move player A to destination Location(X:4,Y:12)
15-02-2017 11:24:20:364 - I: 	Trying to move player B to destination Location(X:18,Y:19)
15-02-2017 11:24:20:364 - D: 	Applying player power ups
15-02-2017 11:24:20:364 - D: 	Destroying marked entities
15-02-2017 11:24:20:364 - I: 	Player PlayerEntity(X:4, Y:12, Key:A) has a movement coverage of 4,63% for the map
15-02-2017 11:24:20:364 - I: 	Player PlayerEntity(X:18, Y:19, Key:B) has a movement coverage of 2,85% for the map
15-02-2017 11:24:20:364 - D: 	Round processing complete
