
18-02-2017 10:48:21:874 - I: 	Executing process E:\kuda\v1.2.6\Game Engine\Calibrations\BotCalibrationDotNet.exe B "E:\kuda\v1.2.6\Game Engine\Replays\468526908\0\B"
18-02-2017 10:48:21:911 - I: 	Bot calibration complete and can run an additional 50ms due to environment startup
18-02-2017 10:48:21:927 - D: 	Executing bot with following commands ../Reference Bot\Reference\bin\Debug\Reference.exe B "E:\kuda\v1.2.6\Game Engine\Replays\468526908\0\B"
18-02-2017 10:48:21:927 - I: 	Executing process ../Reference Bot\Reference\bin\Debug\Reference.exe B "E:\kuda\v1.2.6\Game Engine\Replays\468526908\0\B"
18-02-2017 10:48:21:927 - I: 	Bot has 4000ms to run before it will be forcefully killed
18-02-2017 10:48:22:127 - I: 	Output from bot: *********************
18-02-2017 10:48:22:127 - I: 	Output from bot: *A ##   #   #    #  *
18-02-2017 10:48:22:127 - I: 	Output from bot: * * * * * * * * * * *
18-02-2017 10:48:22:127 - I: 	Output from bot: *##   #  # #  #   ##*
18-02-2017 10:48:22:127 - I: 	Output from bot: *#* * *#*#*#*#* * * *
18-02-2017 10:48:22:127 - I: 	Output from bot: *   # ##     ## #   *
18-02-2017 10:48:22:127 - I: 	Output from bot: * * * *#* * *#* * * *
18-02-2017 10:48:22:127 - I: 	Output from bot: *#                 #*
18-02-2017 10:48:22:127 - I: 	Output from bot: * *#* * *#*#* * *#* *
18-02-2017 10:48:22:127 - I: 	Output from bot: *## ### ##### ### ##*
18-02-2017 10:48:22:127 - I: 	Output from bot: * * *#* *#.#* *#* * *
18-02-2017 10:48:22:127 - I: 	Output from bot: *## ### ##..# ### ##*
18-02-2017 10:48:22:127 - I: 	Output from bot: * *#* * *#*.* * *#* *
18-02-2017 10:48:22:127 - I: 	Output from bot: *#         ...     #*
18-02-2017 10:48:22:127 - I: 	Output from bot: * * * *#* * *.* * * *
18-02-2017 10:48:22:127 - I: 	Output from bot: *   # ##     ...#   *
18-02-2017 10:48:22:127 - I: 	Output from bot: * * * *#*#*#*#*.* *#*
18-02-2017 10:48:22:127 - I: 	Output from bot: *##   #  # #  #.  ##*
18-02-2017 10:48:22:127 - I: 	Output from bot: * * * * * * * *.* * *
18-02-2017 10:48:22:127 - I: 	Output from bot: *  #    #   #  ....B*
18-02-2017 10:48:22:127 - I: 	Output from bot: *********************
18-02-2017 10:48:22:127 - I: 	Output from bot: Executing move command
18-02-2017 10:48:22:127 - I: 	Output from bot: Sending Back command MoveLeft
18-02-2017 10:48:22:127 - I: 	Output from bot: 
18-02-2017 10:48:22:127 - E: 	Output from bot: 
18-02-2017 10:48:22:143 - I: 	Your bots total execution time was 00:00:00.2112027
