
15-02-2017 09:08:02:643 - I: 	Added Command GameEngine.Commands.PlayerCommands.TriggerBombCommand for Player PlayerEntity(X:4, Y:4, Key:A)
15-02-2017 09:08:02:969 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:16, Y:18, Key:B)
15-02-2017 09:08:03:228 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:4, Y:17, Key:C)
15-02-2017 09:08:03:489 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:16, Y:5, Key:D)
15-02-2017 09:08:03:489 - D: 	Beginning round processing
15-02-2017 09:08:03:489 - D: 	Removing Bomb Explosions from map
15-02-2017 09:08:03:489 - D: 	Decreasing Bomb Timers
15-02-2017 09:08:03:489 - D: 	Detonating Bombs
15-02-2017 09:08:03:489 - D: 	Processing Player Commands
15-02-2017 09:08:03:489 - I: 	Trying to move player C to destination Location(X:4,Y:18)
15-02-2017 09:08:03:489 - D: 	Applying player power ups
15-02-2017 09:08:03:489 - D: 	Destroying marked entities
15-02-2017 09:08:03:489 - I: 	Player PlayerEntity(X:4, Y:4, Key:A) has a movement coverage of 2,85% for the map
15-02-2017 09:08:03:489 - I: 	Player PlayerEntity(X:16, Y:18, Key:B) has a movement coverage of 3,91% for the map
15-02-2017 09:08:03:489 - I: 	Player PlayerEntity(X:4, Y:18, Key:C) has a movement coverage of 2,49% for the map
15-02-2017 09:08:03:489 - I: 	Player PlayerEntity(X:16, Y:5, Key:D) has a movement coverage of 3,20% for the map
15-02-2017 09:08:03:489 - D: 	Round processing complete
