
15-02-2017 11:25:32:424 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:10, Y:9, Key:A)
15-02-2017 11:25:32:609 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:16, Y:11, Key:B)
15-02-2017 11:25:32:609 - D: 	Beginning round processing
15-02-2017 11:25:32:609 - D: 	Removing Bomb Explosions from map
15-02-2017 11:25:32:609 - D: 	Decreasing Bomb Timers
15-02-2017 11:25:32:609 - D: 	Detonating Bombs
15-02-2017 11:25:32:609 - D: 	Processing Player Commands
15-02-2017 11:25:32:609 - I: 	Trying to move player A to destination Location(X:10,Y:8)
15-02-2017 11:25:32:609 - I: 	Trying to move player B to destination Location(X:16,Y:12)
15-02-2017 11:25:32:609 - D: 	Applying player power ups
15-02-2017 11:25:32:609 - D: 	Destroying marked entities
15-02-2017 11:25:32:609 - I: 	Player PlayerEntity(X:10, Y:8, Key:A) has a movement coverage of 9,96% for the map
15-02-2017 11:25:32:609 - I: 	Player PlayerEntity(X:16, Y:12, Key:B) has a movement coverage of 9,96% for the map
15-02-2017 11:25:32:609 - D: 	Round processing complete
