
15-02-2017 09:07:56:092 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:2, Y:4, Key:A)
15-02-2017 09:07:56:345 - I: 	Added Command GameEngine.Commands.PlayerCommands.TriggerBombCommand for Player PlayerEntity(X:18, Y:18, Key:B)
15-02-2017 09:07:56:561 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:2, Y:19, Key:C)
15-02-2017 09:07:56:762 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:19, Y:2, Key:D)
15-02-2017 09:07:56:762 - D: 	Beginning round processing
15-02-2017 09:07:56:762 - D: 	Removing Bomb Explosions from map
15-02-2017 09:07:56:762 - D: 	Decreasing Bomb Timers
15-02-2017 09:07:56:762 - D: 	Detonating Bombs
15-02-2017 09:07:56:762 - I: 	Detonating Bomb BombEntity(X:20, Y:3, Radius:1, Timer:0, Owner:D)
15-02-2017 09:07:56:762 - D: 	Processing Player Commands
15-02-2017 09:07:56:762 - I: 	Trying to move player A to destination Location(X:2,Y:3)
15-02-2017 09:07:56:762 - I: 	Trying to move player C to destination Location(X:2,Y:18)
15-02-2017 09:07:56:762 - I: 	Trying to move player D to destination Location(X:18,Y:2)
15-02-2017 09:07:56:762 - D: 	Applying player power ups
15-02-2017 09:07:56:762 - D: 	Destroying marked entities
15-02-2017 09:07:56:762 - D: 	Destroyed Entity DestructibleWallEntity(X:20, Y:4)
15-02-2017 09:07:56:762 - I: 	Player PlayerEntity(X:2, Y:3, Key:A) has a movement coverage of 1,78% for the map
15-02-2017 09:07:56:762 - I: 	Player PlayerEntity(X:18, Y:18, Key:B) has a movement coverage of 2,85% for the map
15-02-2017 09:07:56:762 - I: 	Player PlayerEntity(X:2, Y:18, Key:C) has a movement coverage of 1,78% for the map
15-02-2017 09:07:56:762 - I: 	Player PlayerEntity(X:18, Y:2, Key:D) has a movement coverage of 1,78% for the map
15-02-2017 09:07:56:762 - D: 	Round processing complete
