
15-02-2017 11:24:32:287 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:4, Y:11, Key:A)
15-02-2017 11:24:32:541 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:18, Y:18, Key:B)
15-02-2017 11:24:32:541 - D: 	Beginning round processing
15-02-2017 11:24:32:541 - D: 	Removing Bomb Explosions from map
15-02-2017 11:24:32:541 - D: 	Decreasing Bomb Timers
15-02-2017 11:24:32:541 - D: 	Detonating Bombs
15-02-2017 11:24:32:541 - D: 	Processing Player Commands
15-02-2017 11:24:32:541 - I: 	Trying to move player B to destination Location(X:18,Y:17)
15-02-2017 11:24:32:541 - D: 	Applying player power ups
15-02-2017 11:24:32:541 - D: 	Destroying marked entities
15-02-2017 11:24:32:541 - I: 	Player PlayerEntity(X:4, Y:11, Key:A) has a movement coverage of 4,98% for the map
15-02-2017 11:24:32:541 - I: 	Player PlayerEntity(X:18, Y:17, Key:B) has a movement coverage of 3,91% for the map
15-02-2017 11:24:32:541 - D: 	Round processing complete
