
15-02-2017 11:25:15:057 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:10, Y:9, Key:A)
15-02-2017 11:25:15:241 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:18, Y:14, Key:B)
15-02-2017 11:25:15:241 - D: 	Beginning round processing
15-02-2017 11:25:15:241 - D: 	Removing Bomb Explosions from map
15-02-2017 11:25:15:241 - D: 	Decreasing Bomb Timers
15-02-2017 11:25:15:241 - D: 	Detonating Bombs
15-02-2017 11:25:15:241 - D: 	Processing Player Commands
15-02-2017 11:25:15:241 - I: 	Trying to move player A to destination Location(X:10,Y:10)
15-02-2017 11:25:15:241 - I: 	Trying to move player B to destination Location(X:17,Y:14)
15-02-2017 11:25:15:241 - D: 	Applying player power ups
15-02-2017 11:25:15:241 - D: 	Destroying marked entities
15-02-2017 11:25:15:241 - I: 	Player PlayerEntity(X:10, Y:10, Key:A) has a movement coverage of 8,90% for the map
15-02-2017 11:25:15:241 - I: 	Player PlayerEntity(X:17, Y:14, Key:B) has a movement coverage of 8,90% for the map
15-02-2017 11:25:15:241 - D: 	Round processing complete
