
19-02-2017 12:16:35:051 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:2, Y:2, Key:A)
19-02-2017 12:16:35:090 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:19, Y:20, Key:B)
19-02-2017 12:16:35:090 - D: 	Beginning round processing
19-02-2017 12:16:35:090 - D: 	Removing Bomb Explosions from map
19-02-2017 12:16:35:090 - D: 	Decreasing Bomb Timers
19-02-2017 12:16:35:090 - D: 	Detonating Bombs
19-02-2017 12:16:35:090 - D: 	Processing Player Commands
19-02-2017 12:16:35:090 - D: 	Applying player power ups
19-02-2017 12:16:35:090 - D: 	Destroying marked entities
19-02-2017 12:16:35:090 - I: 	Player PlayerEntity(X:2, Y:2, Key:A) has a movement coverage of 0,36% for the map
19-02-2017 12:16:35:090 - I: 	Player PlayerEntity(X:19, Y:20, Key:B) has a movement coverage of 1,07% for the map
19-02-2017 12:16:35:090 - D: 	Round processing complete
