
07-02-2017 11:47:51:496 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:2, Y:5, Key:A)
07-02-2017 11:47:51:696 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:18, Y:20, Key:B)
07-02-2017 11:47:51:696 - D: 	Beginning round processing
07-02-2017 11:47:51:696 - D: 	Removing Bomb Explosions from map
07-02-2017 11:47:51:696 - D: 	Decreasing Bomb Timers
07-02-2017 11:47:51:696 - D: 	Detonating Bombs
07-02-2017 11:47:51:696 - D: 	Processing Player Commands
07-02-2017 11:47:51:696 - I: 	Trying to move player A to destination Location(X:2,Y:6)
07-02-2017 11:47:51:696 - I: 	Trying to move player B to destination Location(X:18,Y:19)
07-02-2017 11:47:51:696 - D: 	Applying player power ups
07-02-2017 11:47:51:696 - D: 	Destroying marked entities
07-02-2017 11:47:51:696 - I: 	Player PlayerEntity(X:2, Y:6, Key:A) has a movement coverage of 2,14% for the map
07-02-2017 11:47:51:696 - I: 	Player PlayerEntity(X:18, Y:19, Key:B) has a movement coverage of 2,14% for the map
07-02-2017 11:47:51:696 - D: 	Round processing complete
