
07-02-2017 11:47:56:511 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:2, Y:7, Key:A)
07-02-2017 11:47:56:706 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:18, Y:20, Key:B)
07-02-2017 11:47:56:706 - D: 	Beginning round processing
07-02-2017 11:47:56:706 - D: 	Removing Bomb Explosions from map
07-02-2017 11:47:56:706 - D: 	Decreasing Bomb Timers
07-02-2017 11:47:56:706 - D: 	Detonating Bombs
07-02-2017 11:47:56:706 - D: 	Processing Player Commands
07-02-2017 11:47:56:706 - I: 	Trying to move player A to destination Location(X:2,Y:6)
07-02-2017 11:47:56:706 - D: 	Applying player power ups
07-02-2017 11:47:56:706 - D: 	Destroying marked entities
07-02-2017 11:47:56:706 - I: 	Player PlayerEntity(X:2, Y:6, Key:A) has a movement coverage of 2,85% for the map
07-02-2017 11:47:56:706 - I: 	Player PlayerEntity(X:18, Y:20, Key:B) has a movement coverage of 2,49% for the map
07-02-2017 11:47:56:706 - D: 	Round processing complete
