
15-02-2017 11:24:12:372 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:2, Y:3, Key:A)
15-02-2017 11:24:12:572 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:19, Y:20, Key:B)
15-02-2017 11:24:12:572 - D: 	Beginning round processing
15-02-2017 11:24:12:572 - D: 	Removing Bomb Explosions from map
15-02-2017 11:24:12:572 - D: 	Decreasing Bomb Timers
15-02-2017 11:24:12:572 - D: 	Detonating Bombs
15-02-2017 11:24:12:572 - D: 	Processing Player Commands
15-02-2017 11:24:12:572 - I: 	Trying to move player A to destination Location(X:2,Y:4)
15-02-2017 11:24:12:572 - I: 	Trying to move player B to destination Location(X:18,Y:20)
15-02-2017 11:24:12:572 - D: 	Applying player power ups
15-02-2017 11:24:12:572 - D: 	Destroying marked entities
15-02-2017 11:24:12:572 - I: 	Player PlayerEntity(X:2, Y:4, Key:A) has a movement coverage of 1,07% for the map
15-02-2017 11:24:12:572 - I: 	Player PlayerEntity(X:18, Y:20, Key:B) has a movement coverage of 1,07% for the map
15-02-2017 11:24:12:572 - D: 	Round processing complete
