
15-02-2017 11:25:10:975 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:11, Y:8, Key:A)
15-02-2017 11:25:11:176 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:17, Y:14, Key:B)
15-02-2017 11:25:11:176 - D: 	Beginning round processing
15-02-2017 11:25:11:176 - D: 	Removing Bomb Explosions from map
15-02-2017 11:25:11:176 - D: 	Decreasing Bomb Timers
15-02-2017 11:25:11:176 - D: 	Detonating Bombs
15-02-2017 11:25:11:176 - I: 	Detonating Bomb BombEntity(X:16, Y:12, Radius:4, Timer:0, Owner:B)
15-02-2017 11:25:11:176 - D: 	Processing Player Commands
15-02-2017 11:25:11:176 - I: 	Trying to move player B to destination Location(X:18,Y:14)
15-02-2017 11:25:11:176 - D: 	Applying player power ups
15-02-2017 11:25:11:176 - D: 	Destroying marked entities
15-02-2017 11:25:11:176 - D: 	Destroyed Entity DestructibleWallEntity(X:16, Y:11)
15-02-2017 11:25:11:176 - D: 	Destroyed Entity DestructibleWallEntity(X:15, Y:12)
15-02-2017 11:25:11:176 - I: 	Player PlayerEntity(X:11, Y:8, Key:A) has a movement coverage of 8,54% for the map
15-02-2017 11:25:11:176 - I: 	Player PlayerEntity(X:18, Y:14, Key:B) has a movement coverage of 8,90% for the map
15-02-2017 11:25:11:176 - D: 	Round processing complete
