
15-02-2017 09:08:01:763 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:4, Y:3, Key:A)
15-02-2017 09:08:01:948 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:17, Y:18, Key:B)
15-02-2017 09:08:02:126 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:4, Y:17, Key:C)
15-02-2017 09:08:02:326 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:16, Y:5, Key:D)
15-02-2017 09:08:02:326 - D: 	Beginning round processing
15-02-2017 09:08:02:326 - D: 	Removing Bomb Explosions from map
15-02-2017 09:08:02:326 - D: 	Decreasing Bomb Timers
15-02-2017 09:08:02:326 - D: 	Detonating Bombs
15-02-2017 09:08:02:326 - I: 	Detonating Bomb BombEntity(X:18, Y:17, Radius:1, Timer:0, Owner:B)
15-02-2017 09:08:02:326 - D: 	Processing Player Commands
15-02-2017 09:08:02:326 - I: 	Trying to move player A to destination Location(X:4,Y:4)
15-02-2017 09:08:02:326 - I: 	Trying to move player B to destination Location(X:16,Y:18)
15-02-2017 09:08:02:326 - D: 	Applying player power ups
15-02-2017 09:08:02:326 - D: 	Destroying marked entities
15-02-2017 09:08:02:326 - D: 	Destroyed Entity DestructibleWallEntity(X:18, Y:16)
15-02-2017 09:08:02:326 - I: 	Player PlayerEntity(X:4, Y:4, Key:A) has a movement coverage of 2,85% for the map
15-02-2017 09:08:02:326 - I: 	Player PlayerEntity(X:16, Y:18, Key:B) has a movement coverage of 3,91% for the map
15-02-2017 09:08:02:326 - I: 	Player PlayerEntity(X:4, Y:17, Key:C) has a movement coverage of 2,49% for the map
15-02-2017 09:08:02:326 - I: 	Player PlayerEntity(X:16, Y:5, Key:D) has a movement coverage of 3,20% for the map
15-02-2017 09:08:02:326 - D: 	Round processing complete
