
15-02-2017 09:08:32:470 - I: 	Added Command GameEngine.Commands.PlayerCommands.TriggerBombCommand for Player PlayerEntity(X:4, Y:5, Key:A)
15-02-2017 09:08:32:655 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:16, Y:12, Key:B)
15-02-2017 09:08:32:823 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:6, Y:14, Key:C)
15-02-2017 09:08:33:008 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:16, Y:7, Key:D)
15-02-2017 09:08:33:008 - D: 	Beginning round processing
15-02-2017 09:08:33:008 - D: 	Removing Bomb Explosions from map
15-02-2017 09:08:33:008 - D: 	Decreasing Bomb Timers
15-02-2017 09:08:33:008 - D: 	Detonating Bombs
15-02-2017 09:08:33:008 - D: 	Processing Player Commands
15-02-2017 09:08:33:008 - I: 	Trying to move player B to destination Location(X:15,Y:12)
15-02-2017 09:08:33:008 - I: 	Trying to move player C to destination Location(X:7,Y:14)
15-02-2017 09:08:33:008 - I: 	Trying to move player D to destination Location(X:16,Y:8)
15-02-2017 09:08:33:008 - D: 	Applying player power ups
15-02-2017 09:08:33:008 - D: 	Destroying marked entities
15-02-2017 09:08:33:008 - I: 	Player PlayerEntity(X:4, Y:5, Key:A) has a movement coverage of 5,34% for the map
15-02-2017 09:08:33:008 - I: 	Player PlayerEntity(X:15, Y:12, Key:B) has a movement coverage of 7,83% for the map
15-02-2017 09:08:33:008 - I: 	Player PlayerEntity(X:7, Y:14, Key:C) has a movement coverage of 6,76% for the map
15-02-2017 09:08:33:008 - I: 	Player PlayerEntity(X:16, Y:8, Key:D) has a movement coverage of 5,34% for the map
15-02-2017 09:08:33:008 - D: 	Round processing complete
