
19-02-2017 12:16:39:763 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:2, Y:2, Key:A)
19-02-2017 12:16:39:795 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:20, Y:17, Key:B)
19-02-2017 12:16:39:795 - D: 	Beginning round processing
19-02-2017 12:16:39:795 - D: 	Removing Bomb Explosions from map
19-02-2017 12:16:39:795 - D: 	Decreasing Bomb Timers
19-02-2017 12:16:39:795 - D: 	Detonating Bombs
19-02-2017 12:16:39:795 - D: 	Processing Player Commands
19-02-2017 12:16:39:795 - D: 	Applying player power ups
19-02-2017 12:16:39:795 - D: 	Destroying marked entities
19-02-2017 12:16:39:795 - I: 	Player PlayerEntity(X:2, Y:2, Key:A) has a movement coverage of 0,36% for the map
19-02-2017 12:16:39:795 - I: 	Player PlayerEntity(X:20, Y:17, Key:B) has a movement coverage of 2,14% for the map
19-02-2017 12:16:39:795 - D: 	Round processing complete
