
19-02-2017 12:16:33:716 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:2, Y:2, Key:A)
19-02-2017 12:16:33:736 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:20, Y:20, Key:B)
19-02-2017 12:16:33:736 - D: 	Beginning round processing
19-02-2017 12:16:33:736 - D: 	Removing Bomb Explosions from map
19-02-2017 12:16:33:736 - D: 	Decreasing Bomb Timers
19-02-2017 12:16:33:736 - D: 	Detonating Bombs
19-02-2017 12:16:33:736 - D: 	Processing Player Commands
19-02-2017 12:16:33:736 - I: 	Trying to move player B to destination Location(X:19,Y:20)
19-02-2017 12:16:33:736 - D: 	Applying player power ups
19-02-2017 12:16:33:736 - D: 	Destroying marked entities
19-02-2017 12:16:33:736 - I: 	Player PlayerEntity(X:2, Y:2, Key:A) has a movement coverage of 0,36% for the map
19-02-2017 12:16:33:736 - I: 	Player PlayerEntity(X:19, Y:20, Key:B) has a movement coverage of 1,07% for the map
19-02-2017 12:16:33:736 - D: 	Round processing complete
