
15-02-2017 11:24:40:223 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:4, Y:12, Key:A)
15-02-2017 11:24:40:402 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:18, Y:16, Key:B)
15-02-2017 11:24:40:402 - D: 	Beginning round processing
15-02-2017 11:24:40:402 - D: 	Removing Bomb Explosions from map
15-02-2017 11:24:40:402 - D: 	Decreasing Bomb Timers
15-02-2017 11:24:40:402 - D: 	Detonating Bombs
15-02-2017 11:24:40:402 - D: 	Processing Player Commands
15-02-2017 11:24:40:402 - I: 	Trying to move player A to destination Location(X:4,Y:11)
15-02-2017 11:24:40:402 - I: 	Trying to move player B to destination Location(X:18,Y:17)
15-02-2017 11:24:40:402 - D: 	Applying player power ups
15-02-2017 11:24:40:402 - D: 	Destroying marked entities
15-02-2017 11:24:40:402 - I: 	Player PlayerEntity(X:4, Y:11, Key:A) has a movement coverage of 5,34% for the map
15-02-2017 11:24:40:402 - I: 	Player PlayerEntity(X:18, Y:17, Key:B) has a movement coverage of 4,98% for the map
15-02-2017 11:24:40:402 - D: 	Round processing complete
