
15-02-2017 09:08:04:826 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:4, Y:5, Key:A)
15-02-2017 09:08:05:012 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:16, Y:17, Key:B)
15-02-2017 09:08:05:220 - I: 	Added Command GameEngine.Commands.PlayerCommands.TriggerBombCommand for Player PlayerEntity(X:5, Y:18, Key:C)
15-02-2017 09:08:05:432 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:16, Y:4, Key:D)
15-02-2017 09:08:05:432 - D: 	Beginning round processing
15-02-2017 09:08:05:432 - D: 	Removing Bomb Explosions from map
15-02-2017 09:08:05:432 - D: 	Decreasing Bomb Timers
15-02-2017 09:08:05:432 - D: 	Detonating Bombs
15-02-2017 09:08:05:432 - D: 	Processing Player Commands
15-02-2017 09:08:05:432 - I: 	Trying to move player D to destination Location(X:17,Y:4)
15-02-2017 09:08:05:432 - D: 	Applying player power ups
15-02-2017 09:08:05:432 - D: 	Destroying marked entities
15-02-2017 09:08:05:432 - I: 	Player PlayerEntity(X:4, Y:5, Key:A) has a movement coverage of 3,20% for the map
15-02-2017 09:08:05:432 - I: 	Player PlayerEntity(X:16, Y:17, Key:B) has a movement coverage of 4,27% for the map
15-02-2017 09:08:05:432 - I: 	Player PlayerEntity(X:5, Y:18, Key:C) has a movement coverage of 2,85% for the map
15-02-2017 09:08:05:432 - I: 	Player PlayerEntity(X:17, Y:4, Key:D) has a movement coverage of 3,20% for the map
15-02-2017 09:08:05:432 - D: 	Round processing complete
