
19-02-2017 12:16:42:540 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:2, Y:2, Key:A)
19-02-2017 12:16:42:560 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:20, Y:15, Key:B)
19-02-2017 12:16:42:560 - D: 	Beginning round processing
19-02-2017 12:16:42:560 - D: 	Removing Bomb Explosions from map
19-02-2017 12:16:42:560 - D: 	Decreasing Bomb Timers
19-02-2017 12:16:42:560 - D: 	Detonating Bombs
19-02-2017 12:16:42:560 - D: 	Processing Player Commands
19-02-2017 12:16:42:560 - D: 	Applying player power ups
19-02-2017 12:16:42:560 - D: 	Destroying marked entities
19-02-2017 12:16:42:561 - I: 	Player PlayerEntity(X:2, Y:2, Key:A) has a movement coverage of 0,36% for the map
19-02-2017 12:16:42:561 - I: 	Player PlayerEntity(X:20, Y:15, Key:B) has a movement coverage of 3,56% for the map
19-02-2017 12:16:42:561 - D: 	Round processing complete
