
19-02-2017 12:05:16:307 - I: 	Loaded bot ../BotEx
19-02-2017 12:05:16:309 - I: 	Registered player Player 1
19-02-2017 12:05:16:309 - I: 	Registered player John
19-02-2017 12:05:16:332 - I: 		OK!
19-02-2017 12:05:17:312 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:2, Y:2, Key:A)
19-02-2017 12:05:17:445 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:20, Y:20, Key:B)
19-02-2017 12:05:17:447 - D: 	Beginning round processing
19-02-2017 12:05:17:447 - D: 	Removing Bomb Explosions from map
19-02-2017 12:05:17:448 - D: 	Decreasing Bomb Timers
19-02-2017 12:05:17:449 - D: 	Detonating Bombs
19-02-2017 12:05:17:452 - D: 	Processing Player Commands
19-02-2017 12:05:17:485 - I: 	Trying to move player A to destination Location(X:2,Y:3)
19-02-2017 12:05:17:485 - I: 	Trying to move player B to destination Location(X:19,Y:20)
19-02-2017 12:05:17:486 - D: 	Applying player power ups
19-02-2017 12:05:17:489 - D: 	Destroying marked entities
19-02-2017 12:05:17:500 - I: 	Player PlayerEntity(X:2, Y:3, Key:A) has a movement coverage of 0,71% for the map
19-02-2017 12:05:17:500 - I: 	Player PlayerEntity(X:19, Y:20, Key:B) has a movement coverage of 0,71% for the map
19-02-2017 12:05:17:500 - D: 	Round processing complete
